"EVENTO", "NOME", "INTENSIDADE", "PONTO", "GRAU_ATUAL", "GRAU_ORIGINAL", "RODADAS", "STATUS"
"EVENTO:", "Quadrilha15225859363100815836345728986166167815894", 3, 2, 2, 3, 3, 0
"EVENTO:", "Quadrilha15225859363100815836345728986166167815894", 3, 2, 2, 3, 3, 1
"EVENTO:", "Ladr\xc3\xa3o10276054990988838705841486019306846105252", 1, 2, 2, 3, 6, 0
"EVENTO:", "Ladr\xc3\xa3o10276054990988838705841486019306846105252", 1, 2, 2, 3, 6, 1
"EVENTO:", "Ladr\xc3\xa3o10313036115094492223012181858337270721710", 2, 3, 1, 2, 9, 0
"EVENTO:", "Ladr\xc3\xa3o10313036115094492223012181858337270721710", 2, 3, 1, 2, 11, 1
"EVENTO:", "Ladr\xc3\xa3o10315561960300191549303888554043042237884", 3, 4, 2, 4, 12, 0
"EVENTO:", "Ladr\xc3\xa3o10315561960300191549303888554043042237884", 3, 4, 2, 4, 12, 1
"EVENTO:", "Quadrilha15277209919665163673378628704353809132452", 2, 2, 2, 3, 15, 0
"EVENTO:", "Quadrilha15277209919665163673378628704353809132452", 2, 2, 2, 3, 15, 1
"EVENTO:", "Golpe de Estado6152009881425451034099566376857661134493", 1, 4, 2, 4, 18, 0
"EVENTO:", "Golpe de Estado6152009881425451034099566376857661134493", 1, 4, 2, 4, 18, 1
"EVENTO:", "Navio Afundando12132354756910106324564209971538772281398", 1, 4, 2, 4, 21, 0
"EVENTO:", "Navio Afundando12132354756910106324564209971538772281398", 1, 4, 2, 4, 21, 1
"EVENTO:", "Hospital em Chamas7236775016982061386934857912841905318929", 1, 3, 1, 2, 24, 0
"EVENTO:", "Hospital em Chamas7236775016982061386934857912841905318929", 1, 3, 1, 2, 26, 1
"EVENTO:", "Soldado Ferido1749255403574866142278209165371198052125", 2, 4, 2, 4, 27, 0
"EVENTO:", "Soldado Ferido1749255403574866142278209165371198052125", 2, 4, 2, 4, 27, 1
"EVENTO:", "Hospital em Chamas7124320588001064579646777675349353801833", 3, 2, 2, 3, 30, 0
"EVENTO:", "Hospital em Chamas7124320588001064579646777675349353801833", 3, 2, 2, 3, 30, 1
"EVENTO:", "Exterm\xc3\xadnio4172787854606374092864921180411989409136", 2, 3, 1, 2, 33, 0
"EVENTO:", "Exterm\xc3\xadnio4172787854606374092864921180411989409136", 2, 3, 1, 2, 35, 1
"EVENTO:", "Tiroteio1893013035815680089773104925552526175005", 1, 2, 2, 3, 36, 0
"EVENTO:", "Tiroteio1893013035815680089773104925552526175005", 1, 2, 2, 3, 36, 1
"EVENTO:", "Hospital em Chamas7180166407000337440073161087483101347208", 1, 2, 2, 3, 39, 0
"EVENTO:", "Hospital em Chamas7180166407000337440073161087483101347208", 1, 2, 2, 3, 39, 1
"EVENTO:", "Quadrilha156547135874606696218341015030433932820", 2, 1, 2, 2, 42, 0
"EVENTO:", "Quadrilha156547135874606696218341015030433932820", 2, 1, 2, 2, 42, 1
"EVENTO:", "Exterm\xc3\xadnio4207240273935224823366128364811562530746", 2, 3, 1, 2, 45, 0
"EVENTO:", "Exterm\xc3\xadnio4207240273935224823366128364811562530746", 2, 3, 1, 2, 47, 1
"EVENTO:", "Assalto029656833567860437606914619940026392183", 1, 2, 2, 3, 48, 0
"EVENTO:", "Assalto029656833567860437606914619940026392183", 1, 2, 2, 3, 48, 1
"EVENTO:", "Tiroteio18253004262045643386204975737838695036240", 3, 2, 2, 3, 51, 0
"EVENTO:", "Tiroteio18253004262045643386204975737838695036240", 3, 2, 2, 3, 51, 1
"EVENTO:", "Fuga519442970392761003074283846377598688816", 2, 3, 1, 2, 54, 0
"EVENTO:", "Fuga519442970392761003074283846377598688816", 2, 3, 1, 2, 56, 1
"EVENTO:", "Individuo Suspeito8290807896691214856584928823755211633868", 1, 3, 1, 2, 57, 0
"EVENTO:", "Individuo Suspeito8290807896691214856584928823755211633868", 1, 3, 1, 2, 59, 1
"EVENTO:", "Mulher em Trabalho de Parto11256185672818577992335043538112469953516", 1, 4, 2, 4, 60, 0
"EVENTO:", "Mulher em Trabalho de Parto11256185672818577992335043538112469953516", 1, 4, 2, 4, 60, 1
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13131350509266075179072248275549671709538", 3, 1, 2, 2, 63, 0
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13131350509266075179072248275549671709538", 3, 1, 2, 2, 63, 1
"EVENTO:", "Briga11037366965652719209843281608011020651", 2, 1, 2, 2, 66, 0
"EVENTO:", "Briga11037366965652719209843281608011020651", 2, 1, 2, 2, 66, 1
"EVENTO:", "Golpe de Estado6148566293742934294165101311009208931304", 3, 4, 2, 4, 69, 0
"EVENTO:", "Golpe de Estado6148566293742934294165101311009208931304", 3, 4, 2, 4, 69, 1
"EVENTO:", "Ladr\xc3\xa3o10244978091545175232526728129312382280652", 1, 2, 2, 3, 72, 0
"EVENTO:", "Ladr\xc3\xa3o10244978091545175232526728129312382280652", 1, 2, 2, 3, 72, 1
"EVENTO:", "Tiroteio18279142652212896929909353856035674207993", 1, 1, 2, 2, 75, 0
"EVENTO:", "Tiroteio18279142652212896929909353856035674207993", 1, 1, 2, 2, 75, 1
"EVENTO:", "Briga1255030946422122475071456231836536994142", 3, 2, 2, 3, 78, 0
"EVENTO:", "Briga1255030946422122475071456231836536994142", 3, 2, 2, 3, 78, 1
"EVENTO:", "Mulher em Trabalho de Parto1192021273000655943528252626052566036103", 3, 3, 1, 2, 81, 0
"EVENTO:", "Mulher em Trabalho de Parto1192021273000655943528252626052566036103", 3, 3, 1, 2, 83, 1
"EVENTO:", "Joalheiria Roubada965172910124256867976955935916955747420", 3, 3, 1, 2, 84, 0
"EVENTO:", "Joalheiria Roubada965172910124256867976955935916955747420", 3, 3, 1, 2, 86, 1
"EVENTO:", "Hospital em Chamas772035737685622160972974731540040487873", 2, 4, 2, 4, 87, 0
