"EVENTO", "NOME", "INTENSIDADE", "PONTO", "GRAU_ATUAL", "GRAU_ORIGINAL", "RODADAS", "STATUS"
"EVENTO:", "V\xc3\xadtima de Acidente19201988874220021663404568853985648705409", 2, 16, 14, 19, 3, 0
"EVENTO:", "V\xc3\xadtima de Acidente19201988874220021663404568853985648705409", 2, 16, 14, 19, 4, 1
"EVENTO:", "Assalto0194774860247705255429041183449312449601", 2, 44, 16, 18, 6, 0
"EVENTO:", "Assalto0194774860247705255429041183449312449601", 2, 44, 16, 18, 6, 1
"EVENTO:", "Corrida de Rua2258012344598303105487457892418045616741", 1, 33, 16, 32, 9, 0
"EVENTO:", "Corrida de Rua2258012344598303105487457892418045616741", 1, 33, 16, 32, 9, 1
"EVENTO:", "Resgate16137335398846491101621818919639862881917", 1, 17, 14, 21, 12, 0
"EVENTO:", "Resgate16137335398846491101621818919639862881917", 1, 17, 14, 21, 13, 1
"EVENTO:", "Fuga5100000622082298009525965566043364360255", 1, 49, 15, 19, 15, 0
"EVENTO:", "Fuga5100000622082298009525965566043364360255", 1, 49, 15, 19, 16, 1
"EVENTO:", "Ladr\xc3\xa3o1032895617164057029406673622911774598842", 1, 8, 10, 19, 18, 0
"EVENTO:", "Ladr\xc3\xa3o1032895617164057029406673622911774598842", 1, 8, 10, 19, 19, 1
"EVENTO:", "Soldado Ferido1760475565688141538882265807183519407212", 3, 2, 9, 17, 21, 0
"EVENTO:", "Soldado Ferido1760475565688141538882265807183519407212", 3, 2, 9, 17, 22, 1
"EVENTO:", "Golpe de Estado6309377030961822342806369786312650275745", 3, 48, 10, 16, 24, 0
"EVENTO:", "Golpe de Estado6309377030961822342806369786312650275745", 3, 48, 10, 16, 25, 1
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3332407954167814379411906937783749194657", 2, 21, 14, 17, 27, 0
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3332407954167814379411906937783749194657", 2, 21, 14, 17, 27, 1
"EVENTO:", "Joalheiria Roubada9280433108684795687279288301666917054039", 1, 42, 13, 24, 30, 0
"EVENTO:", "Joalheiria Roubada9280433108684795687279288301666917054039", 1, 42, 13, 24, 31, 1
"EVENTO:", "Joalheiria Roubada9252621196831147733746820434835974668235", 2, 36, 9, 16, 33, 0
"EVENTO:", "Joalheiria Roubada9252621196831147733746820434835974668235", 2, 36, 9, 16, 35, 1
